,artist,url,artist_id,followers,genre,monthly_listeners
0,Joji,https://open.spotify.com/artist/3MZsBdqDrRTJihTHQrO6Dq,3MZsBdqDrRTJihTHQrO6Dq,7384722,['viral pop'],34369735
1,NIKI,https://open.spotify.com/artist/2kxP07DLgs4xlWz8YHlvfh,2kxP07DLgs4xlWz8YHlvfh,2075512,"['indonesian r&b', 'pop']",9668996
2,Rich Brian,https://open.spotify.com/artist/2IDLDx25HU1nQMKde4n61a,2IDLDx25HU1nQMKde4n61a,2094205,['indonesian hip hop'],8650936
3,BIBI,https://open.spotify.com/artist/6UbmqUEgjLA6jAcXwbM1Z9,6UbmqUEgjLA6jAcXwbM1Z9,584233,"['k-pop', 'korean r&b']",3564901
4,Jackson Wang,https://open.spotify.com/artist/1kfWoWgCugPkyxQP8lkRlY,1kfWoWgCugPkyxQP8lkRlY,3482754,['k-pop'],3503326
5,CHUNG HA,https://open.spotify.com/artist/2PSJ6YriU7JsFucxACpU7Y,2PSJ6YriU7JsFucxACpU7Y,1988156,['k-pop'],2809916
6,Stephanie Poetri,https://open.spotify.com/artist/0HS00NN7MAfF59aJnfcxSO,0HS00NN7MAfF59aJnfcxSO,530327,[],1707313
7,Higher Brothers,https://open.spotify.com/artist/07ZhipyrvoyNoJejeyM0PQ,07ZhipyrvoyNoJejeyM0PQ,266697,['chinese hip hop'],1481095
8,Mili,https://open.spotify.com/artist/0K05TDnN7xPwIHDOwD2YYs,0K05TDnN7xPwIHDOwD2YYs,170025,['otacore'],427448
9,Guapdad 4000,https://open.spotify.com/artist/0NcPKaSNIHAM2RfioH9vMT,0NcPKaSNIHAM2RfioH9vMT,108477,"['cali rap', 'oakland hip hop', 'scam rap', 'trap soul', 'underground hip hop', 'vapor trap']",862404
