,Rank,Artist,Monthly listeners(millions),Solo Debut,Genre
0,1,Taylor Swift,79.77,2006,"Pop, country, folk, rock, alternative"
1,2,The Weeknd,79,2010,"R&B, pop, hip hop, dance, alternative R&B, new wave"
2,3,Ed Sheeran,77.05,2011,"Pop, folk-pop, soft rock"
3,4,Sam Smith,68.8,2014,"Pop, R&B, soul"
4,5,David Guetta,68.41,2002,"EDM, house, dance pop"
5,6,Justin Bieber,68.03,2009,"Pop, R&B, EDM, dance pop"
6,7,Rihanna,65.95,2005,"Pop, R&B, EDM, reggae, hip hop"
7,8,Harry Styles,65.03,2017,"Pop, soft rock"
8,9,Drake,64.54,2010,"Hip hop, R&B, pop, pop rap, trap"
9,10,Bad Bunny,62.08,2013,"Latin trap, reggaeton, alternative reggaeton"
10,11,Dua Lipa,60.56,,
11,12,Coldplay,58.12,,
12,13,Eminem,57.75,,
13,14,Imagine Dragons,56.28,,
14,15,Ariana Grande,53.54,,
15,16,Shakira,53.24,,
16,17,Doja Cat,52.33,,
17,18,Post Malone,51.43,,
18,19,Elton John,50.98,,
19,20,Bruno Mars,50.92,,
20,21,Kanye West,50.82,,
21,22,Billie Eilish,50.65,,
22,23,J Balvin,50.29,,
23,24,Khalid,50.07,,
24,25,Maroon 5,49.54,,
25,26,Bebe Rexha,49.44,,
26,27,OneRepublic,49.41,,
27,28,Beyoncé,49.4,,
28,29,Calvin Harris,49.35,,
29,30,Chris Brown,48.3,,
30,"As of November 4, 2022","As of November 4, 2022","As of November 4, 2022",,
